frame	crossing	04D9	03BC_03C5	03C6_03CF
6991	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6992	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6993	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6994	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6995	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6996	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6997	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6998	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6999	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7000	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7001	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7002	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7003	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7004	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7005	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7006	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7007	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7008	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7009	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7010	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7011	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7012	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7013	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7014	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7015	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7016	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7017	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7018	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7019	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7020	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7021	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7022	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7023	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7024	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7025	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
7026	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
